FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,TELEFONO,INFOESP
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e8,11830,De la Mota Café,,""CALLE CEREZUELA, 1 "",POINT (372537.889180728 4064561.86404654),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/bares-y-cafeterias/detalle-del-establecimiento/De-la-Mota-Cafe-00003/,srdanimota@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e9,11970,Restaurante Gallego Candamil,,""CALLE CUARTELES, 15 "",POINT (372536.10585383 4064157.80065616),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Restaurante-Gallego-Candamil-00003/,restaurante@candamil.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52ea,11842,La Cocina Taller,,""CALLE OMAR, 8 "",POINT (371054.30379202 4061824.30395425),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/comida-para-llevar/detalle-del-establecimiento/La-Cocina-Taller-00002/,info@lacocinataller.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52eb,11968,Papulinos IV,,""CALLE DON CRISTIÁN, 41 "",POINT (372203.519992374 4064788.16369753),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Papulinos-IV-00003/,info@papulinos.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52ec,11973,Restaurante Vegetariano Cañadú,,""PLAZA DE LA MERCED, 21 "",POINT (373475.940774913 4065129.39896864),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Restaurante-Vegetariano-Canadu-00002/,urbanopaco@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52ed,11923,Aire Gastrobar,,""AVENIDA DE PRÍES, 16 "",POINT (374395.875552986 4064854.11731406),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Aire-Gastrobar-00003/,info@airegastrobar.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52ee,11836,Carnicería Marco`s,,""CALLE HORACIO LENGO, 18 "",POINT (371421.211480913 4064119.72112098),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/carnicerias/detalle-del-establecimiento/Carniceria-Marcos-00004/,nancycarolina86@hotmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52ef,11972,Restaurante Mc Donald's (Los Patios),,""AVENIDA DE VELÁZQUEZ, 241 "",POINT (368908.923417626 4060681.1967835),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Restaurante-Mc-Donalds-Los-Patios-00002/,malagapryca.17@mcdesp.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f0,11918,Bramasole Pizzerías,,""CALLE LOPE DE RUEDA, 79 "",POINT (367711.262903562 4066991.50406881),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/pizzerias/detalle-de-la-pizzeria/Bramasole-Pizzerias-00002/,bramasolepizzerias@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f1,11834,Rodilla,,""CALLE EXPLANADA DE LA ESTACIÓN, 1 "",POINT (372152.358402453 4063871.05233593),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/bares-y-cafeterias/detalle-del-establecimiento/Rodilla/,rodillavialia@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f2,11885,Hotel Soho Bahía Málaga,,""CALLE SOMERA, 8 "",POINT (372862.462436435 4064257.27576779),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Hotel-Soho-Bahia-Malaga-00003/,,bahiamalaga@sohohoteles.com,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f3,11872,Heladería By Mardel (Av. Imperio Argentina),,""AVENIDA IMPERIO ARGENTINA, 17 "",POINT (370146.985680676 4060615.47084705),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/heladerias/detalle-del-establecimiento/Heladeria-By-Mardel-Av-00003.-Imperio-Argentina/,bymardel.tuhelado@hotmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f4,11841,Happy Corn (Polígono El Viso),,""CALLE CARABELA, 45 "",POINT (367191.386970126 4064072.48693572),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/comida-para-llevar/detalle-del-establecimiento/Happy-Corn-Poligono-El-Viso-00001/,info@empanadashappycorn.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f5,11911,Restaurante Lola - Hotel Only You,,""ALAMEDA PRINCIPAL, 1 "",POINT (373088.294027997 4064505.34801215),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Restaurante-Lola-Hotel-Only-You/,lola.restaurante@onlyyouhotels.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f6,11969,Restaurante Casa Carlos,,""CALLE KEROMNES, 6 "",POINT (374252.395769201 4064736.30357884),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Restaurante-Casa-Carlos-00003/,casacarlos1936@hotmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f7,11846,Creplovers,,""CALLE VENDEJA, 21 "",POINT (372824.486836986 4064331.45298255),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/creperias-gofrerias/detalle-de-la-creperia-00001/Creplovers/,creplovers.sl@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f8,11971,Restaurante Mc Donald's (Bahía Azul),,""AVENIDA DE VELÁZQUEZ, 389 "",POINT (367256.55234155 4058081.70927333),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Restaurante-Mc-Donalds-Bahia-Azul-00002/,malagaikea.523@es.mcd.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52f9,11878,Hotel AC Málaga Palacio,,""CALLE CORTINA DEL MUELLE, 1 "",POINT (373234.63061309 4064647.14712908),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Hotel-AC-Malaga-Palacio-00004/,mpalacio@ac-hotels.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52fa,11825,Cafetería Complejo Económico Social UMA,,""CALLE DOCTOR ORTIZ RAMOS, 1 "",POINT (367373.278051737 4064404.72411462),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/bares-y-cafeterias/detalle-del-establecimiento/Cafeteria-Complejo-Economico-Social-UMA-00003/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52fb,12126,Restaurante Venta El Mijeño,,""CARRETERA A-7000 COLMENAR, 2400 "",POINT (376026.946717882 4070221.14273374),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Restaurante-Venta-El-Mijeno-00002/,elmijeno@hotmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52fc,12825,HELADERIA KALÚA TEATINOS,,""AVENIDA DE PLUTARCO, 75 "",POINT (368332.171900356 4064956.59625539),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/heladerias/detalle-del-establecimiento/Heladeria-Kalua-Teatinos/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52fd,11927,Casa Juan,,""CALLE DEL RÍO ROCÍO, 18 "",POINT (371942.983789863 4062969.59355122),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Casa-Juan-00002/,info@restaurantecasajuan.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52fe,11984,Taberna D'Antojo,,""AVENIDA DE GREGORIO PRIETO, 19 "",POINT (369338.143833138 4064408.35119592),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Taberna-DAntojo-00003/,info@d-antojo.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52ff,11875,Heladería Mont Blanc,,""CALLE JANO, 2 "",POINT (368285.835740258 4065187.02666827),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/heladerias/detalle-del-establecimiento/Heladeria-Mont-Blanc-00002/,heladeriamontblanc@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5300,11906,Restaurante Hotel Sallés Málaga Centro,,""CALLE MÁRMOLES, 6 "",POINT (372605.673743615 4064953.77105859),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Restaurante-Hotel-Salles-Malaga-Centro/,hotelmc@salleshotels.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5301,11929,El Vegetariano de Alcazabilla,,""CALLE POZO DEL REY, 5 "",POINT (373470.975554664 4064979.82695324),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/El-Vegetariano-de-Alcazabilla-00002/,http://elvegetarianodelaalcazabilla.com/,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5302,12824,HOTEL ZENIT MALAGA,,""CALLE CUBA, 1 "",POINT (373621.003039366 4066194.07019894),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Hotel-zenit/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5303,11922,Kiwi Shop,,""CALLE DEL RÍO ROCÍO, 3 "",POINT (371744.915106524 4063141.09199439),https://singluten.malaga.eu/establecimientos/listado-de-establecimientos/detalle-del-establecimiento/Kiwi-Shop/,kiwishopmlg@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5304,11876,Heladería YUMMY,,""CALLE MOLINA LARIO, 6 "",POINT (373173.985976834 4064854.94235611),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/heladerias/detalle-del-establecimiento/Heladeria-YUMMY/,yummymalaga@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5305,11835,Carnicería Alfonso,,""CALLE CORREGIDOR FRANCISCO DE MOLINA, 8 "",POINT (370473.217654474 4064041.30728106),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/carnicerias/detalle-del-establecimiento/Carniceria-Alfonso-00003/,carniceriaalfonso@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5306,11879,Hotel Atarazanas,,""CALLE ATARAZANAS, 19 "",POINT (372772.530088891 4064518.84615224),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Hotel-Atarazanas-00004/,info@atarazanasmalaga.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5307,11873,Heladería Cremades (El Palo),,""AVENIDA DE SALVADOR ALLENDE, 25 "",POINT (378404.398417584 4064632.89330336),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/heladerias/detalle-del-establecimiento/Heladeria-Cremades-El-Palo-00002/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5308,11931,La Plancha Taberna,,""CALLE HÉROE DE SOSTOA, 12 "",POINT (372073.316678503 4063714.84225247),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/La-Plancha-Taberna-00002/,hola@laplanchataberna.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5309,11915,Pastelería Pathelín (Avda. Carlos Haya),,""AVENIDA CARLOS DE HAYA, 1 "",POINT (371190.461360885 4064934.20693134),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/pastelerias-y-panaderias/detalle-del-establecimiento/Pasteleria-Pathelin-Avda-00002.-Carlos-Haya/,pathelin@pathelin.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_530a,11924,Asako,,""AVENIDA DE PLUTARCO, 42 "",POINT (368491.233392222 4064882.42251333),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Asako-00002/,info@restauranteasako.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_530b,11974,""Restaurante de la Escuela de Hostelería de """"La Cónsula"""""",,""CARRETERA COÍN, 82 "",POINT (365460.52770777 4058432.95900048),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Restaurante-de-la-Escuela-de-Hosteleria-de-La-Consula-00002/,laconsula.ma.sae@juntadeandalucia.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_530c,11827,Cafetería Facultad de Ciencias de la Salud (UMA),,""CALLE ARQUITECTO FRANCISCO PEÑALOSA, 3 "",POINT (366028.462170459 4064349.73517492),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/bares-y-cafeterias/detalle-del-establecimiento/Cafeteria-Facultad-de-Ciencias-de-la-Salud-UMA-00004/,comedoresclaro@hotmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_530d,12005,Free Bakery,,""AVENIDA DE PEDRO SALINAS, 8 "",POINT (370807.69030123 4066038.41311625),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/pastelerias-y-panaderias/detalle-del-establecimiento/Free-Bakery/,contacto.freebakery@gmail.com ,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_530e,12006,Heladería Rosaleda,,""AVENIDA DE SIMÓN BOLÍVAR, 15 "",POINT (371994.759868472 4066366.35125558),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/heladerias/detalle-del-establecimiento/Heladeria-Rosaleda/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_530f,11838,Cocina Pistachito,,""AVENIDA DE EUROPA, 52 "",POINT (370498.792676122 4062730.48358151),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/comida-para-llevar/detalle-del-establecimiento/Cocina-Pistachito-00002/,aljada09@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5310,11913,El Pastelero Real,,""PASAJE SAN FERNANDO, 6 "",POINT (372506.809206216 4064098.29799081),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/pastelerias-y-panaderias/detalle-del-establecimiento/El-Pastelero-Real-00003/,eprpasteleria@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5311,11887,HOTEL MÁLAGA ALAMEDA CENTRO,,""AVENIDA DE LA AURORA, 25 "",POINT (372115.786055127 4064337.16591773),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Hotel-TRYP-Alameda-00004/,hotel.malaga.alameda@melia.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5312,11932,Maldonado 21,,""CALLE MARTÍNEZ MALDONADO, 21 "",POINT (371965.399091833 4064923.54432256),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Maldonado-21-00003/,jimenezmoyano@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5313,11914,Nata y Chocolate,,""PASEO DE SANCHA, 10 "",POINT (374593.312448459 4064897.49985986),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/pastelerias-y-panaderias/detalle-del-establecimiento/Nata-y-Chocolate-00004/,martineznavarroalba@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5314,11880,Hotel Las Vegas,,""PASEO DE SANCHA, 22 "",POINT (374742.079587043 4064893.51874508),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Hotel-Las-Vegas-00002/,lasvegas@sohohoteles.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5315,11886,Hotel Soho Los Naranjos,,""PASEO DE SANCHA, 35 "",POINT (374861.122871248 4064937.91888002),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Hotel-Soho-Los-Naranjos-00002/,losnaranjos@sohohoteles.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5316,11925,Astrid Tapería Orgánica,,""CALLE CALDERÓN DE LA BARCA, 6 "",POINT (372831.265627525 4064790.87427896),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Astrid-Taperia-Organica-00002/,cmancho@chefsmarbella.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5317,11930,El Gaucho I,,""CALLE JÁBEGA, 56 "",POINT (377411.331876224 4064803.85972442),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Gaucho-I-00003/,milorenacanal@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5318,11928,El Farolito,,""CALLE BEATAS, 14 "",POINT (373174.841182171 4065130.16243539),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/El-Farolito-00002/,elfarolitodemalaga@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5319,11964,Noviembre,,""CALLE ÁLAMOS, 18 "",POINT (373235.725782338 4065164.79494819),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Noviembre-00005/,magarve09@hotmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_531a,12007,Tu Sitio,,""CALLE NUZAS, 22 "",POINT (368817.4843044 4065993.97108034),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/bares-y-cafeterias/detalle-del-establecimiento/Tu-Sitio/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_531b,11837,Asador de Pollo Miraflores,,""CALLE MIRACLAVELES, 2 "",POINT (371459.184613598 4065941.00352627),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/comida-para-llevar/detalle-del-establecimiento/Asador-de-Pollo-Miraflores/,antoniocondesanchez@hotmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_531c,12004,Pathelín Teatinos,,""BULEVAR LOUIS PASTEUR, 8 "",POINT (369421.639118696 4064644.30887903),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/pastelerias-y-panaderias/detalle-del-establecimiento/Pathelin-Teatinos/,pathelin@pathelin.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_531d,11877,Casa Diocesana de espiritualidad Beato Manuel González,,""CAMINO DE LOS ALMENDRALES, 2 "",POINT (373769.264316009 4066386.1566029),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Casa-Diocesana-de-espiritualidad-Beato-Manuel-Gonzalez-00002/,casadiocesana@diocesismalaga.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_531e,11851,3 Monos Craft Beer,,""CALLE LISBOA, 30 "",POINT (368352.634285025 4062851.54181737),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/elaboracion-de-cervezas-artesanales/detalle-del-establecimiento/3-Monos-Craft-Beer-00003/,info@3monoscraftbeer.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_531f,11833,El Pastelero Real Cafetería &Churrería,,""CALLE BABEL, 5 "",POINT (371579.248318981 4064237.04158884),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/bares-y-cafeterias/detalle-del-establecimiento/El-Pastelero-Real-Cafeteria-Churreria/,eprpasteleria@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5320,11826,Cafetería Facultad de Ciencias de la Educación (UMA),,""BULEVAR LOUIS PASTEUR, 25 "",POINT (368796.81132711 4064459.88060506),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/bares-y-cafeterias/detalle-del-establecimiento/Cafeteria-Facultad-de-Ciencias-de-la-Educacion-UMA-00004/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5321,11904,Parador Málaga Golf,,""CARRETERA CAMPO DE GOLF, 1 "",POINT (369078.435156312 4059111.88434383),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Parador-Malaga-Golf-00002/,malaga@parador.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5322,11926,BIBRA REAL FOOD,,""BULEVAR LOUIS PASTEUR, 21 "",POINT (369037.888172361 4064471.66998341),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/BIBRA-REAL-FOOD/,hola@bibra.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_5323,11829,Churrería El Artesano,,""CALLE TORREMOLINOS, 1 "",POINT (365653.884884725 4058990.76208215),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/bares-y-cafeterias/detalle-del-establecimiento/Churreria-El-Artesano-00003/,charretilla@hotmail.com,,,,PRIVADA,No,No,,"
